Item Code,AG,Unit Weight,Complexity Code,Product Group,Stock Value,Product Category Description,IMAGE,Status
510228VEAQ2A00,EVERYDAYS|GOLD PLAIN|BANGLE|A(0-34)|BOMBAY|ALL OTHER|X2,20.18,Low,5,172720.62,Category 40,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=0228VEA.jpg,MTAR
511052VJNS4B00,EVERYDAYS|GOLD PLAIN|BANGLE|A(0-34)|BOMBAY|ALL OTHER|X2,54.38,Low,,471385.54,Category 210,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=1052VJN.jpg,MTAR
51D2A2VPDS2A00,EVERYDAYS|GOLD PLAIN|BANGLE|A(0-34)|BOMBAY|ALL OTHER|X2,30.28,Low,,259149.4,Category 4727,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D2A2VPD.jpg,S-NPI
